sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('reinforcing', 'no_effect');('reinforcing', 'no_effect');('reinforcing', 'challenging');('reinforcing', 'challenging');('no_effect', 'challenging');('no_effect', 'challenging')
liwc_scores_sixLtr;True;True;0.9967157395809807;False;;F(2,195)= 0.00, p = 0.9967157, ω2 = -0.01;False;;False;;False;
liwc_scores_tone;False;False;0.3463523421547563;False;;;False;;False;;False;
liwc_scores_wc;False;False;0.025333897307350303;True;;;False;;False;;True;-0.28
liwc_scores_wps;False;False;0.10909155581121373;False;;;False;;False;;False;
nrc_anger;False;False;0.3486173248974211;False;;;False;;False;;False;
nrc_anticipation;False;False;0.7690276607094836;False;;;False;;False;;False;
nrc_disgust;False;False;0.11786737461497512;False;;;False;;False;;False;
nrc_fear;False;False;0.4795967938837735;False;;;False;;False;;False;
nrc_joy;False;False;0.21805413914061078;False;;;False;;False;;False;
nrc_negative;False;False;0.09505154170157616;False;;;False;;False;;False;
nrc_positive;True;False;0.040277510232226636;True;;;False;;True;-0.2;False;
nrc_ratio;True;True;0.48213283909800164;False;;F(2,195)= 0.73, p = 0.4821328, ω2 = -0.00;False;;False;;False;
nrc_sadness;False;False;0.05727962530425245;False;;;False;;False;;False;
nrc_surprise;False;False;0.654611503341284;False;;;False;;False;;False;
nrc_trust;False;False;0.13477220242067642;False;;;False;;False;;False;
adu_anecdote;False;False;0.10110138515985297;False;;;False;;False;;False;
adu_other;True;True;0.040200114469715886;True;low;F(2,195)= 3.27, p = 0.0402001, ω2 = 0.02;False;;False;;True;-0.27
adu_statistics;False;False;0.7982584280379658;False;;;False;;False;;False;
adu_testimony;False;False;0.9683365146376535;False;;;False;;False;;False;
mpqa_arg_assessments;False;False;0.5890421317637228;False;;;False;;False;;False;
mpqa_arg_authority;False;False;0.11648707377634217;False;;;False;;False;;False;
mpqa_arg_causation;False;False;0.679372405381371;False;;;False;;False;;False;
mpqa_arg_conditionals;False;False;0.39618493432322655;False;;;False;;False;;False;
mpqa_arg_contrast;False;False;0.12113551951836436;False;;;False;;False;;False;
mpqa_arg_difficulty;False;False;0.7430601543451957;False;;;False;;False;;False;
mpqa_arg_doubt;False;False;0.17186208451908477;False;;;False;;False;;False;
mpqa_arg_emphasis;False;False;0.12376877931676505;False;;;False;;False;;False;
mpqa_arg_generalization;False;False;0.5096324793095874;False;;;False;;False;;False;
mpqa_arg_inconsistency;False;False;0.059075579408997395;False;;;False;;False;;False;
mpqa_arg_lexicon_ratio;True;True;0.855182767015838;False;;F(2,195)= 0.16, p = 0.8551828, ω2 = -0.01;False;;False;;False;
mpqa_arg_necessity;False;False;0.873913251125735;False;;;False;;False;;False;
mpqa_arg_possibility;False;False;0.33948532364746753;False;;;False;;False;;False;
mpqa_arg_priority;False;False;0.1780773900282939;False;;;False;;False;;False;
mpqa_arg_rhetoricalquestion;False;False;0.5630741111707647;False;;;False;;False;;same values;same values
mpqa_arg_structure;False;False;0.730124661004815;False;;;False;;False;;False;
mpqa_arg_wants;False;False;0.42650620932172423;False;;;False;;False;;False;
mpqa_subjobg_obj;False;False;0.10413768677255297;False;;;False;;False;;False;
