sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('reinforcing', 'no_effect');('reinforcing', 'no_effect');('reinforcing', 'challenging');('reinforcing', 'challenging');('no_effect', 'challenging');('no_effect', 'challenging')
liwc_scores_categories_article;False;False;0.9262639539403237;False;;;False;;False;;False;
liwc_scores_categories_assent;False;False;0.2611962991904777;False;;;False;;False;;False;
liwc_scores_categories_auxverb;False;False;0.19384437505632146;False;;;False;;False;;False;
liwc_scores_categories_bio;False;False;0.532746487477668;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.8306391854962436;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.6654210974959304;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.17714990876645667;False;;;False;;False;;False;
liwc_scores_categories_cogproc;False;False;0.7393265627794448;False;;;False;;False;;False;
liwc_scores_categories_compare;False;False;0.26262443582011846;False;;;False;;False;;False;
liwc_scores_categories_conj;True;True;0.645013074103981;False;;F(2,361)= 0.44, p = 0.6450131, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_death;False;False;0.0006189649072144483;True;;;True;0.18;True;0.17;False;
liwc_scores_categories_differ;False;False;0.41919237199698955;False;;;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.944396967344341;False;;;False;;False;;False;
liwc_scores_categories_drives;True;True;0.0996589623375205;False;;F(2,361)= 2.32, p = 0.0996590, ω2 = 0.01;False;;False;;False;
liwc_scores_categories_family;False;False;0.17406667255076005;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.613372778829341;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.653827348263603;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.39168996788188515;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.02707301734615122;True;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.2394269835151956;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.7819514247162976;False;;F(2,361)= 0.25, p = 0.7819514, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_friend;False;False;0.5126356786294582;False;;;False;;False;;False;
liwc_scores_categories_function;True;True;0.042631022147072206;True;low;F(2,361)= 3.18, p = 0.0426310, ω2 = 0.01;False;;True;-0.16;False;
liwc_scores_categories_health;False;False;0.5318211931760553;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.8801491764992261;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.055821634269783246;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.7596051859459771;False;;;False;;False;;False;
liwc_scores_categories_informal;False;False;0.06439636536040544;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.6377216130587324;False;;;False;;False;;False;
liwc_scores_categories_insight;False;False;0.4817753188020467;False;;;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.37304074829235573;False;;;False;;False;;False;
liwc_scores_categories_ipron;False;False;0.028785103769015028;True;;;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.5016722179503863;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.2461352296139521;False;;;False;;False;;False;
liwc_scores_categories_money;False;False;0.9898266637587267;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.7243712590085756;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.19601246950498696;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.032045059830548825;True;;;True;0.15;False;;False;
liwc_scores_categories_netspeak;False;False;0.5565547347821898;False;;;False;;False;;False;
liwc_scores_categories_nonflu;False;False;0.4942809670279541;False;;;False;;False;;False;
liwc_scores_categories_number;False;False;0.6595194384619939;False;;;False;;False;;False;
liwc_scores_categories_percept;False;False;0.8777638054631786;False;;;False;;False;;False;
liwc_scores_categories_posemo;False;False;0.860372688590308;False;;;False;;False;;False;
liwc_scores_categories_power;False;False;0.04912758057413941;True;;;True;0.14;False;;False;
liwc_scores_categories_ppron;False;False;0.059057667205873715;False;;;False;;False;;False;
liwc_scores_categories_prep;False;False;0.5964125837445652;False;;;False;;False;;False;
liwc_scores_categories_pronoun;True;True;0.16131785069364707;False;;F(2,361)= 1.83, p = 0.1613179, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_quant;False;False;0.9298236425549582;False;;;False;;False;;False;
liwc_scores_categories_relativ;False;False;0.6032660874027325;False;;;False;;False;;False;
liwc_scores_categories_relig;False;False;0.010972207793063246;True;;;False;;True;-0.18;False;
liwc_scores_categories_reward;False;False;0.6179794179468477;False;;;False;;False;;False;
liwc_scores_categories_risk;False;False;0.22018017993126768;False;;;False;;False;;False;
liwc_scores_categories_sad;False;False;0.02104415889864724;True;;;True;0.16;False;;False;
liwc_scores_categories_see;False;False;0.38681945239310145;False;;;False;;False;;False;
liwc_scores_categories_sexual;False;False;0.601474797530013;False;;;False;;False;;False;
liwc_scores_categories_shehe;False;False;0.26557192437344457;False;;;False;;False;;False;
liwc_scores_categories_social;False;False;0.19162252831428375;False;;;False;;False;;False;
liwc_scores_categories_space;False;False;0.1012500578261847;False;;;False;;False;;False;
liwc_scores_categories_swear;False;False;0.0024860830944611265;True;;;True;0.07;True;0.09;False;
liwc_scores_categories_tentat;False;False;0.45090821527851355;False;;;False;;False;;False;
liwc_scores_categories_they;False;False;0.7471688721489547;False;;;False;;False;;False;
liwc_scores_categories_time;False;False;0.6586220532946636;False;;;False;;False;;False;
liwc_scores_categories_verb;False;False;0.3033435224916941;False;;;False;;False;;False;
liwc_scores_categories_we;False;False;0.5314548924287861;False;;;False;;False;;False;
liwc_scores_categories_work;False;False;0.6709248574980506;False;;;False;;False;;False;
liwc_scores_categories_you;False;False;0.7452821266141094;False;;;False;;False;;False;
liwc_scores_clout;False;False;0.27576597638816086;False;;;False;;False;;False;
liwc_scores_dic;True;True;0.02485639670847126;True;low;F(2,361)= 3.73, p = 0.0248564, ω2 = 0.01;True;-0.13;False;;False;
liwc_scores_sixLtr;True;True;0.11313865069377305;False;;F(2,361)= 2.19, p = 0.1131387, ω2 = 0.01;False;;False;;False;
liwc_scores_tone;False;False;0.0803339810621099;False;;;False;;False;;False;
liwc_scores_wc;False;False;0.2743630217025046;False;;;False;;False;;False;
liwc_scores_wps;False;False;0.3277131954893429;False;;;False;;False;;False;
nrc_anger;False;False;0.20760966988998697;False;;;False;;False;;False;
nrc_anticipation;False;False;0.587573082466676;False;;;False;;False;;False;
nrc_disgust;False;False;0.13602811930719297;False;;;False;;False;;False;
nrc_fear;False;False;0.03201198260965431;True;;;True;0.15;False;;False;
nrc_joy;False;False;0.8812340830917929;False;;;False;;False;;False;
nrc_negative;False;False;0.08809294368245597;False;;;False;;False;;False;
nrc_positive;False;False;0.6522386176888741;False;;;False;;False;;False;
nrc_ratio;True;True;0.14812741842262567;False;;F(2,361)= 1.92, p = 0.1481274, ω2 = 0.01;False;;False;;False;
nrc_sadness;False;False;0.09002250022879481;False;;;False;;False;;False;
nrc_surprise;False;False;0.18467878142968108;False;;;False;;False;;False;
nrc_trust;False;False;0.32334957451095114;False;;;False;;False;;False;
adu_anecdote;False;False;0.43837753544565683;False;;;False;;False;;False;
adu_other;False;False;0.48457006739910535;False;;;False;;False;;False;
adu_statistics;False;False;0.296232115426885;False;;;False;;False;;False;
adu_testimony;False;False;0.3277236926183072;False;;;False;;False;;False;
mpqa_arg_assessments;False;False;0.3163768108737695;False;;;False;;False;;False;
mpqa_arg_authority;False;False;0.3344900584326026;False;;;False;;False;;False;
mpqa_arg_causation;False;False;0.40480301743358316;False;;;False;;False;;False;
mpqa_arg_conditionals;False;False;0.36414820265009934;False;;;False;;False;;False;
mpqa_arg_contrast;False;False;0.6648179592011725;False;;;False;;False;;False;
mpqa_arg_difficulty;False;False;0.44731515714792947;False;;;False;;False;;False;
mpqa_arg_doubt;False;False;0.04469756035832037;True;;;False;;False;;False;
mpqa_arg_emphasis;False;False;0.1596756401151328;False;;;False;;False;;False;
mpqa_arg_generalization;False;False;0.35507243033239894;False;;;False;;False;;False;
mpqa_arg_inconsistency;False;False;0.5231263683114991;False;;;False;;False;;False;
mpqa_arg_lexicon_ratio;False;False;0.7856641874067338;False;;;False;;False;;False;
mpqa_arg_necessity;False;False;0.3754166799907899;False;;;False;;False;;False;
mpqa_arg_possibility;False;False;0.7869677809857316;False;;;False;;False;;False;
mpqa_arg_priority;False;False;0.0765467110718651;False;;;False;;False;;False;
mpqa_arg_rhetoricalquestion;False;False;0.21233675595203952;False;;;False;;False;;False;
mpqa_arg_structure;False;False;0.5385986618032221;False;;;False;;False;;False;
mpqa_arg_wants;False;False;0.5591338509580543;False;;;False;;False;;False;
mpqa_subjobg_obj;False;False;0.29678050934632794;False;;;False;;False;;False;
mpqa_subjobg_subj;False;False;0.37387825560785526;False;;;False;;False;;False;
