sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('challenging', 'no_effect');('challenging', 'no_effect');('challenging', 'reinforcing');('challenging', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'reinforcing')
liwc_scores_categories_Colon;False;False;0.648950926866386;False;;;False;;False;;False;
liwc_scores_categories_Comma;False;False;0.4269406592585393;False;;;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.09423359867846542;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.3560085646308581;False;;;False;;False;;False;
liwc_scores_categories_OtherP;False;False;0.33157668227413206;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.9498601771217154;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.061577188385142534;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.13655231413074473;False;;;False;;False;;False;
liwc_scores_categories_Quote;False;False;0.8067430602215073;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.05657095057972057;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.9235237348875779;False;;;False;;False;;False;
liwc_scores_categories_adj;True;False;0.8116723135891504;False;;;False;;False;;False;
liwc_scores_categories_adverb;False;False;0.38288070908675487;False;;;False;;False;;False;
liwc_scores_categories_affect;False;False;0.47943049447650454;False;;;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.4967724106958602;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.4211874733558095;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.03336270999716783;True;;;True;0.11;True;0.12;False;
liwc_scores_categories_article;True;True;0.2232869940880298;False;;F(2,780)= 1.50, p = 0.2232870, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_assent;False;False;0.2655812085637107;False;;;False;;False;;False;
liwc_scores_categories_auxverb;False;False;0.2974087508096051;False;;;False;;False;;False;
liwc_scores_categories_bio;False;False;0.4844557596566865;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.712135449274233;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.736647333921487;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.08236559898993231;False;;;False;;False;;False;
liwc_scores_categories_cogproc;False;False;0.9018057004474083;False;;;False;;False;;False;
liwc_scores_categories_compare;False;False;0.8004436368832533;False;;;False;;False;;False;
liwc_scores_categories_conj;False;False;0.5388335520111384;False;;;False;;False;;False;
liwc_scores_categories_death;False;False;5.800367702449934e-05;True;;;False;;True;-0.14;True;-0.14
liwc_scores_categories_differ;False;False;0.659849099022902;False;;;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.9381555940969034;False;;;False;;False;;False;
liwc_scores_categories_drives;False;False;0.1256889720821557;False;;;False;;False;;False;
liwc_scores_categories_family;False;False;0.6537809577408946;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.7236897145079708;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.9552229203505223;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.19543986030444632;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.09509818052063496;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.149265609788592;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.8048374393807421;False;;F(2,780)= 0.22, p = 0.8048374, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_friend;False;False;0.5094255270074799;False;;;False;;False;;False;
liwc_scores_categories_function;True;True;0.31742656370756533;False;;F(2,780)= 1.15, p = 0.3174266, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_health;False;False;0.40202820442966986;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.648660174125608;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.32972793481725854;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.4765800121445184;False;;;False;;False;;False;
liwc_scores_categories_informal;False;False;0.34996607413213077;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.9613048452333098;False;;;False;;False;;False;
liwc_scores_categories_insight;False;False;0.8358588079714817;False;;;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.7668844515283955;False;;;False;;False;;False;
liwc_scores_categories_ipron;False;False;0.2998963157461443;False;;;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.48534166953096425;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.11887917947683375;False;;;False;;False;;False;
liwc_scores_categories_money;False;False;0.9536570539004502;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.966608096073174;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.14900974428041833;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.0638887680479515;False;;;False;;False;;False;
liwc_scores_categories_netspeak;False;False;0.8868518702870385;False;;;False;;False;;False;
liwc_scores_categories_nonflu;False;False;0.8765201744444149;False;;;False;;False;;False;
liwc_scores_categories_number;False;False;0.6496100354488534;False;;;False;;False;;False;
liwc_scores_categories_percept;False;False;0.09019090323757871;False;;;False;;False;;False;
liwc_scores_categories_posemo;False;False;0.3719298933739541;False;;;False;;False;;False;
liwc_scores_categories_power;False;False;0.0923021805206242;False;;;False;;False;;False;
liwc_scores_categories_ppron;False;False;0.21184683955209405;False;;;False;;False;;False;
liwc_scores_categories_prep;True;True;0.2916310590804408;False;;F(2,780)= 1.23, p = 0.2916311, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_pronoun;False;False;0.7129713022193461;False;;;False;;False;;False;
liwc_scores_categories_quant;False;False;0.23628206416086964;False;;;False;;False;;False;
liwc_scores_categories_relativ;False;False;0.7319259433107439;False;;;False;;False;;False;
liwc_scores_categories_relig;False;False;0.26742629631568837;False;;;False;;False;;False;
liwc_scores_categories_reward;False;False;0.6614609223342869;False;;;False;;False;;False;
liwc_scores_categories_risk;False;False;0.06315543881428247;False;;;False;;False;;False;
liwc_scores_categories_sad;False;False;0.07309454584068152;False;;;False;;False;;False;
liwc_scores_categories_see;False;False;0.7413201406032924;False;;;False;;False;;False;
liwc_scores_categories_sexual;False;False;0.881205062079552;False;;;False;;False;;False;
liwc_scores_categories_shehe;False;False;0.10991940258164913;False;;;False;;False;;False;
liwc_scores_categories_social;False;False;0.38508234750766285;False;;;False;;False;;False;
liwc_scores_categories_space;False;False;0.09365199186469723;False;;;False;;False;;False;
liwc_scores_categories_swear;False;False;0.00882514452444468;True;;;False;;True;-0.06;False;
liwc_scores_categories_tentat;False;False;0.6211715800746174;False;;;False;;False;;False;
liwc_scores_categories_they;False;False;0.9337576807343753;False;;;False;;False;;False;
liwc_scores_categories_time;False;False;0.31636999474693694;False;;;False;;False;;False;
liwc_scores_categories_verb;False;False;0.38490425998770617;False;;;False;;False;;False;
liwc_scores_categories_we;False;False;0.10279487964161567;False;;;False;;False;;False;
liwc_scores_categories_work;False;False;0.09428968947940074;False;;;False;;False;;False;
liwc_scores_categories_you;False;False;0.7773013786739932;False;;;False;;False;;False;
liwc_scores_clout;False;False;0.1701833010952014;False;;;False;;False;;False;
liwc_scores_dic;True;True;0.0019312336454122578;True;low;F(2,780)= 6.30, p = 0.0019312, ω2 = 0.01;False;;False;;True;-0.12
liwc_scores_sixLtr;True;True;0.31928661933282415;False;;F(2,780)= 1.14, p = 0.3192866, ω2 = 0.00;False;;False;;False;
liwc_scores_tone;False;False;0.01849384951163317;True;;;False;;False;;True;0.11
liwc_scores_wc;False;False;0.07845668870511956;False;;;False;;False;;False;
liwc_scores_wps;False;False;0.5675669482717411;False;;;False;;False;;False;
lemma1_000;False;False;0.9209336628172848;False;;;False;;False;;False;
lemma1_administr;False;False;0.9255818146401013;False;;;False;;False;;False;
lemma1_allow;False;False;0.4349596617697241;False;;;False;;False;;False;
lemma1_american;False;False;0.2528194390548973;False;;;False;;False;;False;
lemma1_author;False;False;0.6019591150220185;False;;;False;;False;;False;
lemma1_billion;False;False;0.8777210150070704;False;;;False;;False;;False;
lemma1_budget;False;False;0.5454185330796231;False;;;False;;False;;False;
lemma1_build;False;False;0.1142155450704466;False;;;False;;False;;False;
lemma1_bush;False;False;0.10312370536804502;False;;;False;;False;;False;
lemma1_campaign;False;False;0.4240970070376846;False;;;False;;False;;False;
lemma1_care;False;False;0.01214366275489125;True;;;False;;False;;True;-0.07
lemma1_case;False;False;0.592248082014884;False;;;False;;False;;False;
lemma1_chang;False;False;0.055738239439650006;False;;;False;;False;;False;
lemma1_citi;False;False;0.8129983716920454;False;;;False;;False;;False;
lemma1_clear;False;False;0.08533824073277647;False;;;False;;False;;False;
lemma1_come;False;False;0.5881119051382167;False;;;False;;False;;False;
lemma1_compani;False;False;0.3926998070927869;False;;;False;;False;;False;
lemma1_congress;False;False;0.0678940376439772;False;;;False;;False;;False;
lemma1_control;False;False;0.42018449364947597;False;;;False;;False;;False;
lemma1_cost;False;False;0.8672106118363478;False;;;False;;False;;False;
lemma1_countri;False;False;0.2861277906389944;False;;;False;;False;;False;
lemma1_court;False;False;0.1628953821263391;False;;;False;;False;;False;
lemma1_democrat;False;False;0.08714978374938066;False;;;False;;False;;False;
lemma1_develop;False;False;0.12021859332415352;False;;;False;;False;;False;
lemma1_elect;False;False;0.0038739052641053105;True;;;True;-0.09;False;;True;0.07
lemma1_feder;False;False;0.001972532653277941;True;;;True;0.12;False;;False;
lemma1_forc;False;False;0.9741715974936486;False;;;False;;False;;False;
lemma1_fund;False;False;0.5510392706410208;False;;;False;;False;;False;
lemma1_general;False;False;0.8998938314085422;False;;;False;;False;;False;
lemma1_give;False;False;0.05252916565348032;False;;;False;;False;;False;
lemma1_go;False;False;0.21940025729032459;False;;;False;;False;;False;
lemma1_good;False;False;0.4402145043312463;False;;;False;;False;;False;
lemma1_govern;False;False;0.730974767914353;False;;;False;;False;;False;
lemma1_governor;False;False;0.8642201309049321;False;;;False;;False;;False;
lemma1_group;False;False;0.023743772276368535;True;;;False;;False;;False;
lemma1_hard;False;False;0.20111882150227034;False;;;False;;False;;False;
lemma1_health;False;False;0.1759363322435948;False;;;False;;False;;False;
lemma1_help;False;False;0.7851542650088502;False;;;False;;False;;False;
lemma1_high;False;False;0.8892466630890349;False;;;False;;False;;False;
lemma1_hous;False;False;0.0595276390638968;False;;;False;;False;;False;
lemma1_import;False;False;0.0027619036446562433;True;;;False;;False;;True;0.11
lemma1_includ;False;False;0.5153488462400867;False;;;False;;False;;False;
lemma1_increas;False;False;0.09943655409378357;False;;;False;;False;;False;
lemma1_iraq;False;False;0.5328306375176665;False;;;False;;False;;False;
lemma1_issu;False;False;0.2749364451845508;False;;;False;;False;;False;
lemma1_know;False;False;0.09521821040831327;False;;;False;;False;;False;
lemma1_larg;False;False;0.5404619173670574;False;;;False;;False;;False;
lemma1_leader;False;False;0.607053719619268;False;;;False;;False;;False;
lemma1_legisl;False;False;0.6008484783007007;False;;;False;;False;;False;
lemma1_like;False;False;0.9932519085365956;False;;;False;;False;;False;
lemma1_long;False;False;0.3241311038490497;False;;;False;;False;;False;
lemma1_major;False;False;0.3412639787364862;False;;;False;;False;;False;
lemma1_make;False;False;0.2461949454059307;False;;;False;;False;;False;
lemma1_member;False;False;0.5252209022720915;False;;;False;;False;;False;
lemma1_million;False;False;0.6104460978050308;False;;;False;;False;;False;
lemma1_money;False;False;0.44094121002090914;False;;;False;;False;;False;
lemma1_month;False;False;0.7631214664788467;False;;;False;;False;;False;
lemma1_nation;False;False;0.7714263718313429;False;;;False;;False;;False;
lemma1_need;False;False;0.5894067918478914;False;;;False;;False;;False;
lemma1_offic;False;False;0.362802131151496;False;;;False;;False;;False;
lemma1_offici;False;False;0.9902050807988584;False;;;False;;False;;False;
lemma1_peopl;False;False;0.518676692527359;False;;;False;;False;;False;
lemma1_percent;False;False;0.13978430077156218;False;;;False;;False;;False;
lemma1_plan;False;False;0.23929617214316815;False;;;False;;False;;False;
lemma1_polit;False;False;0.06708820275262203;False;;;False;;False;;False;
lemma1_power;False;False;0.7292286130500136;False;;;False;;False;;False;
lemma1_presid;False;False;0.4566072034109334;False;;;False;;False;;False;
lemma1_problem;False;False;0.21948601022978706;False;;;False;;False;;False;
lemma1_program;False;False;0.26795076615324537;False;;;False;;False;;False;
lemma1_propos;False;False;0.9879293113086197;False;;;False;;False;;False;
lemma1_protect;False;False;0.30984853533452233;False;;;False;;False;;False;
lemma1_provid;False;False;0.3597653128605726;False;;;False;;False;;False;
lemma1_public;False;False;0.3632193457554467;False;;;False;;False;;False;
lemma1_real;False;False;0.4956902274042353;False;;;False;;False;;False;
lemma1_reason;False;False;0.5016720041075524;False;;;False;;False;;False;
lemma1_recent;False;False;0.7978761068808311;False;;;False;;False;;False;
lemma1_reform;False;False;0.7726413101757919;False;;;False;;False;;False;
lemma1_report;False;False;0.18230611699935667;False;;;False;;False;;False;
lemma1_republican;False;False;0.015220992224327405;True;;;False;;True;-0.1;False;
lemma1_requir;False;False;0.054366685405590795;False;;;False;;False;;False;
lemma1_right;False;False;0.8575737913314678;False;;;False;;False;;False;
lemma1_rule;False;False;0.7387870081708505;False;;;False;;False;;False;
lemma1_say;False;False;0.31712007558761507;False;;;False;;False;;False;
lemma1_school;False;False;0.3331029477955558;False;;;False;;False;;False;
lemma1_secur;False;False;0.9439943885137259;False;;;False;;False;;False;
lemma1_senat;False;False;0.12152986557345175;False;;;False;;False;;False;
lemma1_spend;False;False;0.6828838770538838;False;;;False;;False;;False;
lemma1_start;False;False;0.6633009624112732;False;;;False;;False;;False;
lemma1_state;False;False;0.7576212876725136;False;;;False;;False;;False;
lemma1_support;False;False;0.2161570801754131;False;;;False;;False;;False;
lemma1_take;False;False;0.017745427898121814;True;;;False;;True;0.12;False;
lemma1_thing;False;False;0.8004777501569906;False;;;False;;False;;False;
lemma1_time;False;False;0.468013407687798;False;;;False;;False;;False;
lemma1_unit;False;False;0.9892145410631112;False;;;False;;False;;False;
lemma1_vote;False;False;0.8716503118367487;False;;;False;;False;;False;
lemma1_want;False;False;0.5878867602803124;False;;;False;;False;;False;
lemma1_week;False;False;0.7847323120416171;False;;;False;;False;;False;
lemma1_work;False;False;0.19451952508293474;False;;;False;;False;;False;
lemma1_world;False;False;0.6229152485748521;False;;;False;;False;;False;
lemma1_york;False;False;0.5846020605896387;False;;;False;;False;;False;
lemma2_100 000;False;False;0.14422610832352312;False;;;False;;False;;False;
lemma2_administr offici;False;False;0.5956615289260228;False;;;False;;False;;False;
lemma2_afford hous;False;False;0.24567796899123706;False;;;False;;False;;False;
lemma2_american peopl;False;False;0.5725885805385185;False;;;False;;False;;False;
lemma2_american troop;False;False;0.20926238742133704;False;;;False;;False;;False;
lemma2_assembl speaker;False;False;0.7603677620623355;False;;;False;;False;;False;
lemma2_attorney general;False;False;0.6069586256565465;False;;;False;;False;;False;
lemma2_billion dollar;False;False;0.4288027927744589;False;;;False;;False;;False;
lemma2_billion year;False;False;0.6970892368227227;False;;;False;;False;;False;
lemma2_bush administr;False;False;0.5490348059052704;False;;;False;;False;;False;
lemma2_campaign financ;False;False;0.8191782535673741;False;;;False;;False;;False;
lemma2_carbon dioxid;False;False;0.7016040530152843;False;;;False;;False;;False;
lemma2_citi council;False;False;0.2902830837361111;False;;;False;;False;;False;
lemma2_coast guard;False;False;0.16399952345412183;False;;;False;;same values;same values;False;
lemma2_counti execut;False;False;0.1448310438173258;False;;;False;;False;;False;
lemma2_court rule;False;False;0.09369217414535938;False;;;False;;False;;False;
lemma2_elect offici;False;False;0.5799755198747506;False;;;False;;False;;False;
lemma2_eliot spitzer;False;False;0.04015843926540537;True;;;False;;False;;True;0.04
lemma2_environment protect;False;False;0.10841218034062378;False;;;False;;False;;False;
lemma2_famili member;False;False;0.8903711121075586;False;;;False;;False;;False;
lemma2_feder court;False;False;0.015307577884198937;True;;;True;0.03;False;;False;
lemma2_feder govern;False;False;0.06278334137392781;False;;;False;;False;;False;
lemma2_fund rais;False;False;0.0942094058707915;False;;;False;;False;;False;
lemma2_georg pataki;False;False;0.08271430739498224;False;;;False;;False;;False;
lemma2_global warm;False;False;0.22391555647067746;False;;;False;;False;;False;
lemma2_good govern;False;False;0.0883177532686265;False;;;False;;False;;False;
lemma2_good news;False;False;0.7021740479454889;False;;;False;;False;;False;
lemma2_greenhous gas;False;False;0.14531700879394188;False;;;False;;False;;False;
lemma2_ground zero;False;False;0.03973098995626874;True;;;False;;False;;False;
lemma2_health care;False;False;0.06747368651975384;False;;;False;;False;;False;
lemma2_hedg fund;False;False;0.10406305771274217;False;;;False;;same values;same values;False;
lemma2_high school;False;False;0.5701237519284119;False;;;False;;False;;False;
lemma2_homeland secur;False;False;0.5380428372292305;False;;;False;;False;;False;
lemma2_human right;False;False;0.4910879656434961;False;;;False;;False;;False;
lemma2_hurrican katrina;False;False;0.24820085474074954;False;;;False;;False;;False;
lemma2_illeg immigr;False;False;0.5311575502311514;False;;;False;;False;;False;
lemma2_joseph bruno;False;False;0.6347328922556363;False;;;False;;False;;False;
lemma2_justic depart;False;False;0.6636144593221327;False;;;False;;False;;False;
lemma2_local govern;False;False;0.8390649297810872;False;;;False;;False;;False;
lemma2_long island;False;False;0.18739203529209844;False;;;False;;False;;False;
lemma2_long term;False;False;0.7526346253909724;False;;;False;;False;;False;
lemma2_look like;False;False;0.5162642151402379;False;;;False;;False;;False;
lemma2_major leader;False;False;0.4101713864449802;False;;;False;;False;;False;
lemma2_mayor michael;False;False;0.7576394929681307;False;;;False;;False;;False;
lemma2_member congress;False;False;0.6866519935191858;False;;;False;;False;;False;
lemma2_michael bloomberg;False;False;0.8031853940465439;False;;;False;;False;;False;
lemma2_million dollar;False;False;0.5196371727948532;False;;;False;;False;;False;
lemma2_million peopl;False;False;0.7787100701444605;False;;;False;;False;;False;
lemma2_million year;False;False;0.06124642897096173;False;;;False;;False;;False;
lemma2_nassau counti;False;False;0.3975015039912196;False;;;False;;False;;False;
lemma2_nation secur;False;False;0.2885669508665239;False;;;False;;False;;False;
lemma2_north korea;False;False;0.06999310303730409;False;;;False;;False;;False;
lemma2_nuclear weapon;False;False;0.3911456925629331;False;;;False;;False;;False;
lemma2_nurs home;False;False;0.3774287518834147;False;;;False;;False;;False;
lemma2_past year;False;False;0.31236693381216185;False;;;False;;False;;False;
lemma2_place like;False;False;0.40835605664778585;False;;;False;;False;;False;
lemma2_poor countri;False;False;0.4171467785338139;False;;;False;;False;;False;
lemma2_power plant;False;False;0.6004630670934215;False;;;False;;False;;False;
lemma2_presid bush;False;False;0.11300630274117422;False;;;False;;False;;False;
lemma2_prime minist;False;False;0.017044916367263293;True;;;False;;False;;True;0.05
lemma2_privat account;False;False;0.10481370562748266;False;;;False;;False;;False;
lemma2_public school;False;False;0.016583823340491972;True;;;True;0.03;False;;False;
lemma2_re elect;False;False;0.7779539410713037;False;;;False;;False;;False;
lemma2_recent year;False;False;0.44132972339114995;False;;;False;;False;;False;
lemma2_saddam hussein;False;False;0.9053955556009168;False;;;False;;False;;False;
lemma2_say want;False;False;0.053069464292123586;False;;;False;;False;;False;
lemma2_school district;False;False;0.5891508392728952;False;;;False;;False;;False;
lemma2_secretari state;False;False;0.25203852159644563;False;;;False;;False;;False;
lemma2_secur council;False;False;0.5962930011364783;False;;;False;;False;;False;
lemma2_senat major;False;False;0.7062541274167597;False;;;False;;False;;False;
lemma2_sheldon silver;False;False;0.7642023087904186;False;;;False;;False;;False;
lemma2_so cal;False;False;0.9660562119948725;False;;;False;;False;;False;
lemma2_social secur;False;False;0.13010844843134656;False;;;False;;False;;False;
lemma2_state attorney;False;False;0.18130840254957956;False;;;False;;False;;False;
lemma2_state budget;False;False;0.4583383219868936;False;;;False;;False;;False;
lemma2_state court;False;False;0.9961049991712507;False;;;False;;False;;False;
lemma2_state depart;False;False;0.1313185288962915;False;;;False;;False;;False;
lemma2_state govern;False;False;0.8697974100062642;False;;;False;;False;;False;
lemma2_state legisl;False;False;0.36913134364041883;False;;;False;;False;;False;
lemma2_state legislatur;False;False;0.5987331873774474;False;;;False;;False;;False;
lemma2_state local;False;False;0.5213238442377085;False;;;False;;False;;False;
lemma2_state offici;False;False;0.5458660408934144;False;;;False;;False;;False;
lemma2_state senat;False;False;0.8225569016599225;False;;;False;;False;;False;
lemma2_stem cell;False;False;0.621969947001884;False;;;False;;False;;False;
lemma2_suffolk counti;False;False;0.9771589836674607;False;;;False;;False;;False;
lemma2_sunni arab;False;False;0.039767572886709235;True;;;False;;False;;False;
lemma2_suprem court;False;False;0.13261210887203492;False;;;False;;False;;False;
lemma2_terrorist attack;False;False;0.537476036044418;False;;;False;;False;;False;
lemma2_trade center;False;False;0.05999325088230686;False;;;False;;False;;False;
lemma2_transport author;False;False;0.8125424519335996;False;;;False;;False;;False;
lemma2_unit nation;False;False;0.814133676917142;False;;;False;;False;;False;
lemma2_unit state;False;False;0.5596093275517826;False;;;False;;False;;False;
lemma2_vote machin;False;False;0.19647121423942182;False;;;False;;False;;False;
lemma2_west bank;False;False;0.02995019929173693;True;;;False;;False;;True;0.02
lemma2_white hous;False;False;0.0002862717448678807;True;;;False;;False;;True;-0.09
lemma2_world trade;False;False;0.19045164644944207;False;;;False;;False;;False;
lemma2_year old;False;False;0.98711382564198;False;;;False;;False;;False;
lemma2_york citi;False;False;0.9445336103234439;False;;;False;;False;;False;
lemma2_york legislatur;False;False;0.5630906881950388;False;;;False;;False;;False;
lemma2_york state;False;False;0.2785793400999308;False;;;False;;False;;False;
lemma3_000 squar foot;False;False;0.6682235490655988;False;;;False;;False;;False;
lemma3_arm servic committe;False;False;0.03589934618591725;True;;;False;;False;;False;
lemma3_armi corp engin;False;False;0.5618338677212699;False;;;False;;False;;False;
lemma3_assembl speaker sheldon;False;False;0.22485576345667047;False;;;False;;False;;False;
lemma3_attorney general alberto;False;False;0.6951572832662589;False;;;False;;False;;False;
lemma3_attorney general eliot;False;False;0.19395774903031895;False;;;False;;False;;False;
lemma3_attorney general offic;False;False;0.5306611621972338;False;;;False;;False;;False;
lemma3_bigger better bottl;False;False;0.08736609197751018;False;;;False;;False;;False;
lemma3_bruno senat major;False;False;0.3291728953583393;False;;;False;;False;;False;
lemma3_campaign financ law;False;False;0.5617008038719523;False;;;False;;False;;False;
lemma3_campaign financ reform;False;False;0.34641218331068;False;;;False;;False;;False;
lemma3_carbon dioxid emiss;False;False;0.2984646884128561;False;;;False;;False;;False;
lemma3_coal fir power;False;False;0.3232953364902118;False;;;False;;False;;False;
lemma3_comptrol alan hevesi;False;False;0.031041783853706054;True;;;False;;False;;True;-0.02
lemma3_defens secretari donald;False;False;0.7339853598693249;False;;;False;;False;;False;
lemma3_depart environment conserv;False;False;0.8360632295600401;False;;;False;;False;;False;
lemma3_electron vote machin;False;False;0.6720558955333229;False;;;False;;False;;False;
lemma3_emiss carbon dioxid;False;False;0.5368171257556129;False;;;False;;False;;False;
lemma3_environment protect agenc;False;False;0.6288483507774913;False;;;False;;False;;False;
lemma3_fir power plant;False;False;0.3232953364902118;False;;;False;;False;;False;
lemma3_food drug administr;False;False;0.25889822100612686;False;;;False;;False;;False;
lemma3_for food program;False;False;0.34474972073869653;False;;;False;;False;;False;
lemma3_fuel effici car;False;False;0.11188463864421114;False;;;False;;False;;False;
lemma3_general alberto gonzal;False;False;0.6951572832662589;False;;;False;;False;;False;
lemma3_general eliot spitzer;False;False;0.19395774903031895;False;;;False;;False;;False;
lemma3_good govern advoc;False;False;0.3364378269635623;False;;;False;;False;;False;
lemma3_good govern group;False;False;0.9712644638864961;False;;;False;;False;;False;
lemma3_health human servic;False;False;0.20425665486195446;False;;;False;;False;;False;
lemma3_homeland secur depart;False;False;0.15807081801159517;False;;;False;;False;;False;
lemma3_hundr million dollar;False;False;0.542484127910237;False;;;False;;False;;False;
lemma3_independ budget offic;False;False;0.5629992468571166;False;;;False;;False;;False;
lemma3_intern freedom center;False;False;0.39377199116464695;False;;;False;;False;;False;
lemma3_island rail road;False;False;0.2763012869458711;False;;;False;;False;;False;
lemma3_joseph bruno senat;False;False;0.19317502250385793;False;;;False;;False;;False;
lemma3_kamal al maliki;False;False;0.4089951259632888;False;;;False;;False;;False;
lemma3_leader joseph bruno;False;False;0.9671776406796743;False;;;False;;False;;False;
lemma3_leader sheldon silver;False;False;0.37717533449380414;False;;;False;;False;;False;
lemma3_like york citi;False;False;0.8298710557147405;False;;;False;;False;;False;
lemma3_long island rail;False;False;0.2763012869458711;False;;;False;;False;;False;
lemma3_long island sound;False;False;0.9558264868466745;False;;;False;;False;;False;
lemma3_lower manhattan develop;False;False;0.5614342209587225;False;;;False;;False;;False;
lemma3_major leader joseph;False;False;0.2833325893199134;False;;;False;;False;;False;
lemma3_major leader sheldon;False;False;0.6151006172459037;False;;;False;;False;;False;
lemma3_mayor michael bloomberg;False;False;0.7624072462393428;False;;;False;;False;;False;
