,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
28,0.32,0.34,0.34,0.16,0.35,0.43,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
54,0.32,0.38,0.38,0.09,0.4,0.45,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
59,0.32,0.38,0.38,0.07,0.46,0.44,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
42,0.31,0.34,0.34,0.11,0.44,0.39,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",conscientiousness_average_majority
32,0.31,0.35,0.35,0.1,0.38,0.44,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",conscientiousness_average_majority
34,0.31,0.34,0.34,0.18,0.4,0.36,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
53,0.31,0.36,0.36,0.11,0.4,0.43,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",conscientiousness_average_majority
9,0.31,0.32,0.32,0.12,0.4,0.4,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",conscientiousness_average_majority
21,0.31,0.34,0.34,0.1,0.5,0.34,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",conscientiousness_average_majority
18,0.31,0.35,0.35,0.18,0.36,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",conscientiousness_average_majority
52,0.3,0.36,0.36,0.07,0.42,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
31,0.3,0.35,0.35,0.07,0.4,0.43,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",conscientiousness_average_majority
36,0.3,0.34,0.34,0.14,0.42,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",conscientiousness_average_majority
35,0.3,0.38,0.38,0.05,0.41,0.45,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
13,0.3,0.34,0.34,0.13,0.4,0.37,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu')",conscientiousness_average_majority
47,0.29,0.33,0.33,0.09,0.38,0.41,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
26,0.29,0.32,0.32,0.06,0.4,0.4,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",conscientiousness_average_majority
25,0.28,0.3,0.3,0.07,0.38,0.39,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",conscientiousness_average_majority
22,0.28,0.32,0.32,0.06,0.44,0.36,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",conscientiousness_average_majority
46,0.28,0.3,0.3,0.11,0.42,0.31,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",conscientiousness_average_majority
7,0.28,0.3,0.3,0.1,0.32,0.41,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",conscientiousness_average_majority
4,0.28,0.3,0.3,0.15,0.33,0.36,"{'C': 0.1, 'class_weight': 'balanced'}","('adu',)",conscientiousness_average_majority
12,0.28,0.32,0.32,0.1,0.35,0.38,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",conscientiousness_average_majority
2,0.28,0.32,0.32,0.11,0.29,0.44,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg',)",conscientiousness_average_majority
58,0.28,0.3,0.3,0.1,0.45,0.31,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",conscientiousness_average_majority
20,0.27,0.28,0.28,0.14,0.35,0.31,"{'C': 0.1, 'class_weight': 'balanced'}","('adu', 'lemma')",conscientiousness_average_majority
41,0.27,0.28,0.28,0.1,0.4,0.3,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",conscientiousness_average_majority
56,0.27,0.28,0.28,0.09,0.41,0.3,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
37,0.27,0.3,0.3,0.11,0.31,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
3,0.26,0.36,0.36,0.0,0.41,0.37,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg',)",conscientiousness_average_majority
15,0.26,0.28,0.28,0.08,0.3,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",conscientiousness_average_majority
23,0.25,0.26,0.26,0.1,0.34,0.32,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",conscientiousness_average_majority
16,0.25,0.27,0.27,0.08,0.31,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",conscientiousness_average_majority
