,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
17,0.32,0.42,0.42,0.18,0.22,0.57,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",agreeableness_high_majority
41,0.31,0.36,0.36,0.18,0.27,0.49,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",agreeableness_high_majority
39,0.31,0.41,0.41,0.16,0.19,0.57,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",agreeableness_high_majority
1,0.31,0.35,0.35,0.16,0.34,0.44,"{'C': 10, 'class_weight': 'balanced'}","('nrc',)",agreeableness_high_majority
24,0.31,0.37,0.37,0.21,0.24,0.48,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",agreeableness_high_majority
23,0.31,0.36,0.36,0.18,0.31,0.46,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",agreeableness_high_majority
59,0.31,0.36,0.36,0.21,0.25,0.47,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
30,0.31,0.4,0.4,0.19,0.18,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",agreeableness_high_majority
0,0.31,0.38,0.38,0.14,0.29,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc',)",agreeableness_high_majority
8,0.31,0.37,0.37,0.16,0.29,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",agreeableness_high_majority
7,0.3,0.37,0.37,0.18,0.22,0.51,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",agreeableness_high_majority
52,0.3,0.41,0.41,0.19,0.13,0.57,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
25,0.3,0.36,0.36,0.12,0.3,0.48,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg')",agreeableness_high_majority
47,0.3,0.35,0.35,0.13,0.29,0.48,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
38,0.3,0.38,0.38,0.14,0.24,0.51,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
50,0.3,0.38,0.38,0.18,0.18,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
51,0.3,0.35,0.35,0.18,0.27,0.46,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
56,0.3,0.34,0.34,0.15,0.29,0.46,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
35,0.3,0.37,0.37,0.17,0.22,0.5,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
43,0.3,0.38,0.38,0.15,0.22,0.52,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",agreeableness_high_majority
10,0.3,0.4,0.4,0.15,0.19,0.55,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'lemma')",agreeableness_high_majority
32,0.29,0.32,0.32,0.16,0.3,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",agreeableness_high_majority
11,0.29,0.32,0.32,0.14,0.32,0.41,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",agreeableness_high_majority
14,0.29,0.38,0.38,0.18,0.17,0.53,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'lemma')",agreeableness_high_majority
61,0.29,0.34,0.34,0.22,0.16,0.47,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
16,0.29,0.35,0.35,0.18,0.19,0.5,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",agreeableness_high_majority
3,0.28,0.35,0.35,0.16,0.18,0.5,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg',)",agreeableness_high_majority
2,0.28,0.31,0.31,0.13,0.29,0.41,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg',)",agreeableness_high_majority
49,0.28,0.4,0.4,0.11,0.16,0.57,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",agreeableness_high_majority
22,0.28,0.3,0.3,0.16,0.3,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",agreeableness_high_majority
42,0.28,0.31,0.31,0.15,0.31,0.39,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",agreeableness_high_majority
15,0.28,0.34,0.34,0.19,0.2,0.47,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",agreeableness_high_majority
53,0.27,0.36,0.36,0.2,0.1,0.52,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",agreeableness_high_majority
57,0.27,0.35,0.35,0.17,0.16,0.48,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
46,0.27,0.31,0.31,0.2,0.19,0.42,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",agreeableness_high_majority
40,0.27,0.36,0.36,0.12,0.2,0.51,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
9,0.27,0.32,0.32,0.17,0.22,0.43,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",agreeableness_high_majority
60,0.27,0.39,0.39,0.11,0.14,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
36,0.27,0.37,0.37,0.16,0.12,0.53,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",agreeableness_high_majority
4,0.27,0.38,0.38,0.12,0.12,0.56,"{'C': 100, 'class_weight': 'balanced'}","('adu',)",agreeableness_high_majority
12,0.27,0.31,0.31,0.17,0.23,0.41,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",agreeableness_high_majority
18,0.26,0.33,0.33,0.11,0.17,0.49,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",agreeableness_high_majority
28,0.26,0.31,0.31,0.13,0.23,0.42,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
26,0.25,0.28,0.28,0.14,0.28,0.34,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",agreeableness_high_majority
31,0.25,0.29,0.29,0.14,0.2,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",agreeableness_high_majority
34,0.25,0.29,0.29,0.12,0.25,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
37,0.25,0.33,0.33,0.16,0.11,0.49,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
6,0.25,0.27,0.27,0.16,0.27,0.33,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc')",agreeableness_high_majority
54,0.24,0.27,0.27,0.12,0.25,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
44,0.24,0.28,0.28,0.11,0.25,0.37,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",agreeableness_high_majority
